Ugent ID,address,city,country,lat_1,long_1
8.02001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02002E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02003E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02004E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.02005E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
8.01001E+11,Krijgslaan 281,Gent,Belgium,51.0250898,3.7135395
